Kreise (2019) Kennziffer;Kreise (2019) Name;Raumordnungsregionen (2019) Kennziffer;Raumordnungsregionen (2019) Name
1001000;Flensburg, Stadt;102;Schleswig-Holstein Nord
1002000;Kiel, Stadt;101;Schleswig-Holstein Mitte
1003000;Lübeck, Stadt;103;Schleswig-Holstein Ost
1004000;Neumünster, Stadt;101;Schleswig-Holstein Mitte
1051000;Dithmarschen;105;Schleswig-Holstein Süd-West
1053000;Herzogtum Lauenburg;104;Schleswig-Holstein Süd
1054000;Nordfriesland;102;Schleswig-Holstein Nord
1055000;Ostholstein;103;Schleswig-Holstein Ost
1056000;Pinneberg;104;Schleswig-Holstein Süd
1057000;Plön;101;Schleswig-Holstein Mitte
1058000;Rendsburg-Eckernförde;101;Schleswig-Holstein Mitte
1059000;Schleswig-Flensburg;102;Schleswig-Holstein Nord
1060000;Segeberg;104;Schleswig-Holstein Süd
1061000;Steinburg;105;Schleswig-Holstein Süd-West
1062000;Stormarn;104;Schleswig-Holstein Süd
2000000;Hamburg, Stadt;201;Hamburg
3101000;Braunschweig, Stadt;301;Braunschweig
3102000;Salzgitter, Stadt;301;Braunschweig
3103000;Wolfsburg, Stadt;301;Braunschweig
3151000;Gifhorn;301;Braunschweig
3153000;Goslar;301;Braunschweig
3154000;Helmstedt;301;Braunschweig
3155000;Northeim;305;Göttingen
3157000;Peine;301;Braunschweig
3158000;Wolfenbüttel;301;Braunschweig
3159000;Göttingen;305;Göttingen
3241000;Region Hannover;307;Hannover
3251000;Diepholz;302;Bremen-Umland
3252000;Hameln-Pyrmont;308;Hildesheim
3254000;Hildesheim;308;Hildesheim
3255000;Holzminden;305;Göttingen
3256000;Nienburg (Weser);307;Hannover
3257000;Schaumburg;307;Hannover
3351000;Celle;313;Südheide
3352000;Cuxhaven;303;Bremerhaven
3353000;Harburg;306;Hamburg-Umland-Süd
3354000;Lüchow-Dannenberg;309;Lüneburg
3355000;Lüneburg;309;Lüneburg
3356000;Osterholz;302;Bremen-Umland
3357000;Rotenburg (Wümme);306;Hamburg-Umland-Süd
3358000;Heidekreis;313;Südheide
3359000;Stade;306;Hamburg-Umland-Süd
3360000;Uelzen;309;Lüneburg
3361000;Verden;302;Bremen-Umland
3401000;Delmenhorst, Stadt;302;Bremen-Umland
3402000;Emden, Stadt;312;Ost-Friesland
3403000;Oldenburg (Oldenburg), Stadt;310;Oldenburg
3404000;Osnabrück, Stadt;311;Osnabrück
3405000;Wilhelmshaven, Stadt;312;Ost-Friesland
3451000;Ammerland;310;Oldenburg
3452000;Aurich;312;Ost-Friesland
3453000;Cloppenburg;310;Oldenburg
3454000;Emsland;304;Emsland
3455000;Friesland;312;Ost-Friesland
3456000;Grafschaft Bentheim;304;Emsland
3457000;Leer;312;Ost-Friesland
3458000;Oldenburg;310;Oldenburg
3459000;Osnabrück;311;Osnabrück
3460000;Vechta;311;Osnabrück
